binary_index,state,event,time,orbital_period,eccentricity,lg_mtransfer_rate,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_surface_h1,S1_surface_he4,S1_surf_avg_omega_div_omega_crit,S1_spin,S1_envelope_binding_energy,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_surface_h1,S2_surface_he4,S2_surf_avg_omega_div_omega_crit,S2_spin,S2_envelope_binding_energy
648997,detached,,5744889635.350981,26.936653499119963,0.8141628863924718,,step_SN,0.0078067779541015625,BH,4.321676393867175,-4.736473053180046,,,,,6.999632678080494,,,,,,,3.655189667655226e-07,,H-rich_Core_H_burning,2.0597175499617384,0.19332150037692605,1.3100994611205388,,0.0,,0.0,0.0,0.7028049304604543,0.28265965484031236,0.7154999999623215,0.2702712346399702,0.05418432922834596,1.5202361896708723,-9.781797713182737e+48
652802,detached,,6009091266.438387,48.4819934385098,0.8995227561364056,,step_SN,0.002599954605102539,BH,3.1416970186629665,-4.874960997168074,,,,,5.865402357807159,,,,,,,1.6076196187442367e-06,,H-rich_Core_H_burning,2.658827758149313,0.25327292637079174,1.7444680370680168,,0.0,,0.0,0.0,0.6957708706503993,0.2898106640624878,0.7154999999970119,0.27027123463997005,0.07628444840813658,2.1642576165665006,-1.3602849289180393e+49
657504,detached,,9189510478.548752,3.8406929854801963,0.4731170108937389,,step_SN,0.0059473514556884766,BH,4.636621528222733,-4.7059236497252295,,,,,7.254907803451086,,,,,,,1.1555460762992971e-05,,H-rich_Core_H_burning,2.924452778972184,0.2757710271234699,1.9021805509555239,,0.0,,0.0,0.0,0.6960181718038085,0.28958139358620516,0.7154999999985684,0.27027123463997005,0.12954689950030868,3.6983220317058585,-1.5359860407827086e+49
675201,detached,,9091932329.787712,6.427261231109626,0.6260435451493837,,step_SN,0.005135536193847656,BH,4.671591586057392,-4.702660429509617,,,,,7.042527435376287,,,,,,,5.232479403191756e-07,,H-rich_Core_H_burning,2.6340653051625242,0.24966941845927942,1.728058380743984,,0.0,,0.0,0.0,0.6979808155310131,0.2875809075134846,0.7154999999968582,0.27027123463996994,0.08977395179609733,2.5467187018077695,-1.3465905652717163e+49
680429,detached,,2437456905.8321958,7.095680032110368,0.27075173519635143,,step_SN,0.003527402877807617,BH,3.7464896867606834,-4.79850075565277,,,,,6.525515214538906,,,,,,,1.2976232978021657e-10,,H-rich_Core_H_burning,1.8749734689615722,0.17578917207111228,1.1464077275755022,,0.0,,0.0,0.0,0.7039660833956793,0.28146769794771287,0.7154999998887022,0.27027123463997016,0.03335457972608558,0.9343650682486196,-8.589641192794686e+48
688008,detached,,9386212990.961582,19.07491084729793,0.653350691548727,,step_SN,0.004637241363525391,BH,4.325017464274224,-4.736137431603186,,,,,7.002825657308305,,,,,,,5.811075931384078e-12,,H-rich_Core_H_burning,2.84511561484539,0.2694171325792856,1.8569177726390556,,0.0,,0.0,0.0,0.6956491886192478,0.2899479069074266,0.7154999999981182,0.27027123463996994,0.048890350813113936,1.3931017184262473,-1.4828135782874828e+49
721087,detached,,7786103337.746712,3.788966410947704,0.37263872020508665,,step_SN,0.004674196243286133,BH,4.554424623567847,-4.713691778244251,,,,,7.1086995327897995,,,,,,,7.855739363514276e-07,,H-rich_Core_H_burning,2.377650616818576,0.2253164415490726,1.5557734720812504,,0.0,,0.0,0.0,0.6994914944636056,0.2860342538775516,0.715499999986742,0.27027123463997005,0.0766045298344903,2.160871334821468,-1.1810760892718567e+49
737024,detached,,1600739540.4549394,11.235821664365863,0.23691266042483322,,step_SN,0.004186868667602539,BH,3.8446832546858074,-4.787264730936137,,,,,6.613863517023357,,,,,,,2.7212334984892587e-10,,H-rich_Core_H_burning,1.990694288122978,0.18687587176319628,1.2512336716863726,,0.0,,0.0,0.0,0.7027241416748794,0.2827320506012393,0.7154999999519138,0.2702712346399702,0.035637034803070095,0.9989380847880385,-9.334942761630275e+48
772249,detached,,6616769886.945826,11.95732537650049,0.7600752893656169,,step_SN,0.005218982696533203,BH,4.4906688648445465,-4.719814265051313,,,,,6.907276397393916,,,,,,,2.6953410690287793e-06,,H-rich_Core_H_burning,2.3901607764685817,0.22614853176446642,1.5643811557301772,,0.0,,0.0,0.0,0.7000469095215992,0.28547569004849344,0.7154999999876273,0.27027123463996977,0.08361596517200896,2.3600004686274225,-1.1897200003699887e+49
779475,detached,,3035262902.1617837,98.24386276269493,0.9363340066917424,,step_SN,0.0045032501220703125,BH,4.337121393904014,-4.734923719065224,,,,,6.799079175354956,,,,,,,1.9916484113327527e-06,,H-rich_Core_H_burning,2.373906106206328,0.22469455859080784,1.5529570031916968,,0.0,,0.0,0.0,0.699938181722536,0.28558363643870316,0.7154999999864726,0.27027123463996994,0.08117634552326919,2.2899146939697514,-1.1790764808943506e+49
780625,detached,,7670404632.984411,183.13967601432557,0.854321306832267,,step_SN,0.0013539791107177734,BH,2.5777945664456414,-4.960876993138852,,,,,5.2393048276242045,,,,,,,5.400047092389293e-10,,H-rich_Core_H_burning,2.18374599696693,0.2055035233841909,1.4106625797866732,,0.0,,0.0,0.0,0.7020562418853419,0.28342866215284623,0.7154999999722735,0.27027123463997027,0.021841225331007557,0.6139220030282762,-1.0578082863477859e+49
819618,detached,,1823276500.5337744,9.001091769369298,0.2585981738650073,,step_SN,0.004914045333862305,BH,4.661670081509627,-4.703583762949477,,,,,7.2732122894345155,,,,,,,1.917236423097753e-09,,H-rich_Core_H_burning,2.623492135537645,0.24889483949438015,1.7214071470443202,,0.0,,0.0,0.0,0.697719076895183,0.28784388363173125,0.7154999999967921,0.2702712346399699,0.06208874425769646,1.7609411947222031,-1.3393653610193143e+49
906047,detached,,6779763782.10809,51.01612977905479,0.31493570876689786,,step_SN,0.004652500152587891,BH,3.933244507021021,-4.777374352253512,,,,,6.681845405884254,,,,,,,6.017599256908694e-13,,H-rich_Core_H_burning,2.7609043915145244,0.2617219339945036,1.806913948624555,,0.0,,0.0,0.0,0.696497979831306,0.2890862122229703,0.7154999999976274,0.2702712346399698,0.03908200659859023,1.111417999663696,-1.4281853343017774e+49
939209,detached,,7220834772.812493,1.6139819802692996,0.37726450314976956,,step_SN,0.009525537490844727,BH,4.165837082587316,-4.75242301550375,,,,,6.865827971164143,,,,,,,2.4487551048165165e-07,,H-rich_Core_H_burning,2.373878942838101,0.22422407887603285,1.552691098150543,,0.0,,0.0,0.0,0.7007118453390451,0.28480386134609276,0.7154999999864704,0.2702712346399697,0.056890207559860795,1.6050786382464732,-1.1797934992516416e+49
